rep	peak_num	value
3	546	675.3878129
3	547	240.084508
3	548	373.2238371
3	549	2674.9013545
3	550	634.5184278
3	551	754.413645
3	552	622.393717
3	553	609.8620477
3	554	444.878475
3	556	444.8909458
3	557	493.03157680000004
3	558	286.450538
3	559	210.97691569999998
3	560	222.17410185
3	561	311.6047301
3	562	511.0001316
3	563	296.45517269999993
3	565	453.69336499999997
3	566	746.1331359999999
3	568	547.5126849999999
3	569	351.7271473
3	570	1454.7745650000002
3	573	245.0599663
3	574	480.16882499999997
3	575	1301.474522
3	576	612.10677
3	578	1581.5545339999999
3	579	738.806067
3	581	742.790975
3	582	169.3587726
3	583	189.4449261
3	584	1123.6305750000001
3	585	182.71289879999998
3	586	900.0509409999999
3	587	609.2503146
3	588	438.4299442
3	589	439.4531124
3	590	2227.248115
3	591	279.31649305
3	592	383.247333
3	593	372.7504088
3	594	482.11292299999997
3	595	3802.790231
3	596	381.7855358
3	597	561.674836
3	599	399.5053601000001
3	601	310.494188
3	604	513.991232
3	605	703.932098
3	607	406.4438614
3	608	487.2561368
3	609	248.8875374
3	610	2846.044052
3	611	1692.078464
3	612	431.94588
3	613	818.965911
3	614	284.3912567
3	615	1509.181326
3	616	164.826008
3	617	202.1878003
3	618	1074.9202527
3	619	362.39943995000004
3	620	1107.2624976
3	621	333.602537
3	625	315.6902478
3	626	397.70710500000007
3	627	329.3698046
3	628	152.3636339
3	629	985.175213
